Jogador,Total_Jogos,Total_Jogos_Titular,Save_Percentage_Medio,Clean_Sheet_Percentage_Medio,Gols_Sofridos_90min_Medio,Clubes,Numero_Temporadas,Altura_cm
Aaron Ramsdale,75,75,70.20,13.35,1.67,"Bournemouth, Sheffield Utd",2,188.00
Adam Federici,21,21,66.10,14.30,1.90,Reading,1,188.00
Adrián,136,134,70.73,28.42,1.32,"Liverpool, West Ham",6,190.00
Alex McCarthy,114,114,67.78,20.38,1.62,"Reading, Southampton",5,193.00
Ali Al-Habsi,111,111,70.38,23.88,1.56,"Bolton, Wigan Athletic",4,194.00
Alisson,100,100,75.10,43.47,0.79,Liverpool,3,191.00
Allan McGregor,52,52,65.85,23.05,1.38,Hull City,2,183.00
Anders Lindegaard,10,10,55.30,20.00,1.70,Manchester Utd,1,193.00
Andreas Isaksson,14,12,73.80,33.30,1.22,Manchester City,1,199.00
Angus Gunn,22,22,61.10,22.50,2.00,Southampton,2,196.00
Antti Niemi,53,53,73.90,15.85,1.62,Fulham,2,185.00
Artur Boruc,128,128,65.74,30.84,1.45,"Bournemouth, Southampton",5,193.00
Asmir Begović,235,232,68.66,25.42,1.40,"Bournemouth, Chelsea, Stoke City",8,199.00
Ben Foster,352,352,70.20,23.46,1.45,"Birmingham City, Watford, West Brom",11,193.00
Bernd Leno,97,96,74.40,25.77,1.24,Arsenal,3,190.00
Boaz Myhill,103,102,68.96,26.20,1.69,"Hull City, West Brom",5,191.00
Brad Friedel,277,277,74.09,26.65,1.29,"Aston Villa, Blackburn, Tottenham",8,191.00
Brad Guzan,146,146,65.38,20.24,1.72,"Aston Villa, Middlesbrough",5,193.00
Brad Jones,16,16,70.90,25.00,1.44,Middlesbrough,1,191.00
Brian Jensen,38,38,65.20,7.90,2.15,Burnley,1,185.00
Carlo Cudicini,10,10,80.00,60.00,0.70,Chelsea,1,185.00
Chris Kirkland,137,137,69.74,25.74,1.59,"West Brom, Wigan Athletic",5,191.00
Claudio Bravo,22,22,56.70,22.70,1.19,Manchester City,1,184.00
Costel Pantilimon,45,45,71.80,28.45,1.56,Sunderland,2,203.00
Craig Gordon,87,87,73.03,23.78,1.42,Sunderland,4,193.00
Darren Randolph,22,22,65.40,18.20,1.77,West Ham,1,188.00
David James,172,172,75.96,25.46,1.32,"Manchester City, Portsmouth",5,196.00
David Marshall,53,53,65.80,9.45,2.36,"Cardiff City, Hull City",2,190.00
David Ospina,18,18,80.70,44.40,0.61,Arsenal,1,183.00
David Stockdale,21,19,63.80,15.80,2.17,Fulham,1,191.00
Dean Henderson,49,48,75.75,34.70,0.94,"Manchester Utd, Sheffield Utd",2,190.00
Dean Kiely,15,15,72.30,6.70,1.53,Portsmouth,1,185.00
Declan Rudd,11,11,57.40,18.20,2.09,Norwich City,1,191.00
Ederson,145,145,73.78,48.88,0.74,Manchester City,4,188.00
Edwin van der Sar,186,186,81.33,49.95,0.76,Manchester Utd,6,197.00
Eldin Jakupović,22,22,70.10,22.70,1.64,Hull City,1,191.00
Emiliano Martínez,38,38,78.00,39.50,1.21,Aston Villa,1,195.00
Fraser Forster,106,106,71.30,33.35,1.10,Southampton,4,201.00
Gerhard Tremmel,26,24,70.20,16.65,1.44,Swansea City,2,190.00
Hugo Lloris,298,298,72.77,34.61,1.07,Tottenham,9,188.00
Illan Meslier,35,35,76.60,31.40,1.49,Leeds United,1,196.00
Jack Butland,66,66,72.75,24.70,1.46,Stoke City,2,196.00
Jamie Ashdown,17,17,68.10,17.60,1.76,Portsmouth,1,190.00
Jens Lehmann,74,74,80.60,34.95,0.90,Arsenal,2,190.00
Joe Hart,339,339,71.61,35.11,1.23,"Birmingham City, Burnley, Manchester City, West Ham",11,196.00
Joel Robles,33,32,73.15,37.85,1.29,Everton,2,195.00
John Filan,25,25,77.80,38.35,1.18,Wigan Athletic,2,188.00
John Ruddy,117,117,67.38,22.70,1.60,Norwich City,4,193.00
Jordan Pickford,174,174,69.26,26.58,1.44,"Everton, Sunderland",5,185.00
Julián Speroni,84,84,68.77,22.43,1.30,Crystal Palace,3,186.00
Jussi Jääskeläinen,289,289,72.50,25.56,1.48,"Bolton, West Ham",9,191.00
Karl Darlow,35,35,71.40,18.00,1.61,Newcastle Utd,2,190.00
Kasey Keller,13,13,74.60,38.50,1.23,Fulham,1,188.00
Kasper Schmeichel,239,239,69.97,29.26,1.31,Leicester City,7,189.00
